mission id,person id,tagsAll,tagsAny,tagsNotAny,tags,freq,min timeout,max timeout,min rep,max rep,importance,reqMissionAny,reqMissionAll,reqMissionNone,icon,plugin
TDB_wp,TDB_HanLiu,,,,,10,30,60,NEUTRAL,,,,,,graphics/icons/missions/custom_production.png,data.campaign.missions.TDB_Weapons
,,,,,,,,,,,,,,,,
TDB_cpc,TDB_HanLiu,,,,,10,30,60,NEUTRAL,,,,,,graphics/icons/missions/custom_production.png,data.campaign.missions.TDB_CustomProductionContract
,,,,,,,,,,,,,,,,
TDB_hf,TDB_HanLiu,,,,,1000,30,60,NEUTRAL,,,,,,graphics/icons/missions/custom_production.png,data.campaign.missions.TDB_Hf
,,,,,,,,,,,,,,,,
TDB_Important,TDB_XF,,,,,1000,10000,10000,NEUTRAL,,,,,,graphics/icons/missions/custom_production.png,data.campaign.missions.TDB_Important
,,,,,,,,,,,,,,,,
TDB_Repair,TDB_XF,,,,,1000,30,60,NEUTRAL,,,,,,graphics/icons/missions/custom_production.png,data.campaign.missions.TDB_Repair
,,,,,,,,,,,,,,,,
