id,type,frame,magnitude,map,path
TDB_ji_liu_1,ship,,1,normal,graphics/shaders/normal/ships/TDB_ji_liu_Normal.png
TDB_ji_liu_1,ship,,,material,graphics/shaders/material/ships/TDB_ji_liu_Material.png
TDB_ji_liu_1,ship,,,surface,graphics/shaders/surface/ships/TDB_ji_liu_Surface.png
,,,,,
TDB_ht,ship,,1,normal,graphics/shaders/normal/ships/TDB_HT_Normal.png
TDB_ht,ship,,,material,graphics/shaders/material/ships/TDB_HT_Material.png
TDB_ht,ship,,,surface,graphics/shaders/surface/ships/TDB_HT_Surface.png
,,,,,
TDB_tai_yang_yu_1,ship,,1,normal,graphics/shaders/normal/ships/TDB_tai_yang_yu_Normal.png
TDB_tai_yang_yu_1,ship,,,material,graphics/shaders/material/ships/TDB_tai_yang_yu_Material.png
TDB_tai_yang_yu_1,ship,,,surface,graphics/shaders/surface/ships/TDB_tai_yang_yu_Surface.png
,,,,,
TDB_chuan_yun_1,ship,,1,normal,graphics/shaders/normal/ships/TDB_chuan_yun_1_Normal.png
TDB_chuan_yun_1,ship,,,material,graphics/shaders/material/ships/TDB_chuan_yun_1_Material.png
TDB_chuan_yun_1,ship,,,surface,graphics/shaders/surface/ships/TDB_chuan_yun_1_Surface.png
,,,,,
TDB_feng_ya_1,ship,,1,normal,graphics/shaders/normal/ships/TDB_feng_ya_1_Normal.png
TDB_feng_ya_1,ship,,,material,graphics/shaders/material/ships/TDB_feng_ya_1_Material.png
TDB_feng_ya_1,ship,,,surface,graphics/shaders/surface/ships/TDB_feng_ya_1_Surface.png
,,,,,
TDB_xi_yu_1,ship,,1,normal,graphics/shaders/normal/ships/TDB_xi_yu_1_Normal.png
TDB_xi_yu_1,ship,,,material,graphics/shaders/material/ships/TDB_xi_yu_1_Material.png
TDB_xi_yu_1,ship,,,surface,graphics/shaders/surface/ships/TDB_xi_yu_1_Surface.png
,,,,,
TDB_ji_yu_yun,ship,,1,normal,graphics/shaders/normal/ships/TDB_ji_yu_yun_Normal/TDB_ji_yu_yun_Normal.png
TDB_ji_yu_yun,ship,,,material,graphics/shaders/material/ships/TDB_ji_yu_yun_Material/TDB_ji_yu_yun_Material.png
TDB_ji_yu_yun,ship,,,surface,graphics/shaders/surface/ships/TDB_ji_yu_yun_Surface/TDB_ji_yu_yun_Surface.png
,,,,,
TDB_gu_yu,ship,,1,normal,graphics/shaders/normal/ships/TDB_gu_yu_Normal/TDB_gu_yu_Normal.png
TDB_gu_yu,ship,,,material,graphics/shaders/material/ships/TDB_gu_yu_Material/TDB_gu_yu_Material.png
TDB_gu_yu,ship,,,surface,graphics/shaders/surface/ships/TDB_gu_yu_Surface/TDB_gu_yu_Surface.png
TDB_gu_yu_Z,ship,,1,normal,graphics/shaders/normal/ships/TDB_gu_yu_Normal/TDB_gu_yu_Z_Normal.png
TDB_gu_yu_Z,ship,,,material,graphics/shaders/material/ships/TDB_gu_yu_Material/TDB_gu_yu_Z_Material.png
TDB_gu_yu_Z,ship,,,surface,graphics/shaders/surface/ships/TDB_gu_yu_Surface/TDB_gu_yu_Z_Surface.png
TDB_gu_yu_Y,ship,,1,normal,graphics/shaders/normal/ships/TDB_gu_yu_Normal/TDB_gu_yu_Y_Normal.png
TDB_gu_yu_Y,ship,,,material,graphics/shaders/material/ships/TDB_gu_yu_Material/TDB_gu_yu_Y_Material.png
TDB_gu_yu_Y,ship,,,surface,graphics/shaders/surface/ships/TDB_gu_yu_Surface/TDB_gu_yu_Y_Surface.png
TDB_gu_yu_C,ship,,1,normal,graphics/shaders/normal/ships/TDB_gu_yu_Normal/TDB_gu_yu_C_Normal.png
TDB_gu_yu_C,ship,,,material,graphics/shaders/material/ships/TDB_gu_yu_Material/TDB_gu_yu_C_Material.png
TDB_gu_yu_C,ship,,,surface,graphics/shaders/surface/ships/TDB_gu_yu_Surface/TDB_gu_yu_C_Surface.png
,,,,,
TDB_qiong_ding,ship,,1,normal,graphics/shaders/normal/ships/TDB_qiong_ding_Normal/TDB_qiong_ding_Normal.png
TDB_qiong_ding,ship,,,material,graphics/shaders/material/ships/TDB_qiong_ding_Material/TDB_qiong_ding_Material.png
TDB_qiong_ding,ship,,,surface,graphics/shaders/surface/ships/TDB_qiong_ding_Surface/TDB_qiong_ding_Surface.png
TDB_pao_tai,ship,,1,normal,graphics/shaders/normal/ships/TDB_qiong_ding_Normal/TDB_pao_tai_Normal.png
TDB_pao_tai,ship,,,material,graphics/shaders/material/ships/TDB_qiong_ding_Material/TDB_pao_tai_Material.png
TDB_pao_tai,ship,,,surface,graphics/shaders/surface/ships/TDB_qiong_ding_Surface/TDB_pao_tai_Surface.png
,,,,,
TDB_feng_xian,ship,,1,normal,graphics/shaders/normal/ships/TDB_feng_xian_Normal.png
TDB_feng_xian,ship,,,material,graphics/shaders/material/ships/TDB_feng_xian_Material.png
TDB_feng_xian,ship,,,surface,graphics/shaders/surface/ships/TDB_feng_xian_Surface.png
,,,,,
TDB_dong_yu,ship,,1,normal,graphics/shaders/normal/ships/TDB_dong_yu_Normal/TDB_dong_yu_Normal.png
TDB_dong_yu,ship,,,material,graphics/shaders/material/ships/TDB_dong_yu_Material/TDB_dong_yu_Material.png
TDB_dong_yu,ship,,,surface,graphics/shaders/surface/ships/TDB_dong_yu_Surface/TDB_dong_yu_Surface.png
TDB_dong_yu_armor,ship,,1,normal,graphics/shaders/normal/ships/TDB_dong_yu_Normal/TDB_dong_yu_armor_Normal.png
TDB_dong_yu_armor,ship,,,material,graphics/shaders/material/ships/TDB_dong_yu_Material/TDB_dong_yu_armor_Material.png
TDB_dong_yu_armor,ship,,,surface,graphics/shaders/surface/ships/TDB_dong_yu_Surface/TDB_dong_yu_armor_Surface.png
