id,type,text1,text2,text3,notes,Column 07,Column 08
,,,,,,,
#星球/地图建筑描述,,,,,,,
TDB_jdgdfy,CUSTOM,[越空防壁]计划的组成部分之一，由许多独立的中小型无人轨道防御平台组成的拦截网络，能一定程度上拦截敌军的舰船并可让敌方对地行动变得异常困难。,,,,,
,,,,,,,
TDB_planet1_description,CUSTOM,弧光设计局的掌上明珠，这里汇聚了它最尖端的生产线和研究机构，以及只对极少数客户开放的高端售卖市场。由常规舰队与高度自主的“遥控”舰群组成联合防御力量，与那座令人望而生畏的星际要塞一同，时刻拱卫着这颗不容染指的工业瑰宝。,,"除了守卫着Intersection的星际要塞外，在近地轨道上还整齐的排列着数不清的防御平台，你能清楚的看见他们闪烁的信号灯与搭载炮台，如同一张大网将整个 Intersection 包围了起来。

下方处于黑夜中城市的灯光将整个星球点缀的如同星空般璀璨，而在较远处似乎有一台特殊的大号平台正向着星球背光面投射下皎白的光辉。",,,
,,,,,,,
TDB_station,CUSTOM,一座早在“大崩塌”之前便已矗立于轨道之上的星际要塞。它不仅是守护下方星球的锚，更承担着整星系舰队的调度、维护与补给中枢。漫长岁月中，这座要塞经历了持续而系统化的结构性改造——古老的核心框架与层层迭加的尖端模块相互交融，使其穿越时光，始终保持着超越时代的威慑力与运作效能。,,"巨大的星际要塞既是弧光设计局的太空力量的重要基地也是确保Intersection安全与贸易正常的重要锚点之一，任何企图靠近的军事与民用舰船都在其庞大的雷达与通讯阵列扫描。

周围巡逻的设计局所属载人舰船配合无人舰船热情的引导着来往的民用舰船入港与离去，使得整个要塞繁华却并不混乱。",,,
TDB_Survey_ship,CUSTOM,一艘来自人之领时代的勘探母舰，其早已废弃并静静的环绕着 Indulge 公转。破败不堪的舰体上有弧光设计局写出的提示“危险区域，请勿靠近”。,,这艘长眠于此的堪探母舰内部的大部分设备已经被设计局拆除，只剩下了空置的船坞与大面积的空旷区域。部分警示灯与警示牌依靠被动式能源收集器还在勉强的工作着。,,,
TDB_planet2_description,CUSTOM,尽管 Hawkes IV 的环境极其恶劣，但它凭借储量惊人的矿产资源和散布其上的废墟遗迹，被弧光设计局列入优先开发名单。为拉拢潜在盟友，设计局对符合条件的组织开放了在合理范围内的开采权限。,,俯视这颗星球，自动化采矿站正不停的在向星球各处的采矿点来回发送补给舱，大量的工程无人机穿梭于地表巨大的矿坑间进行开采作业所散发出的灯光也将这片无人的大地点缀的有了些许的人间烟火气。,,,
TDB_planet4_description,CUSTOM,弧光设计局部署于Hawkes IV上空的自动化武装采矿站，统筹地表所有采矿设备的高强度开采作业，将收集的矿物分拣归类后转运至首都进行精加工。凭扼守关键轨道的位置优势，它同时充当着星系的预警前哨。尽管整座站点的日常运作已高度自动化，设计局仍在此保留了必要的人类驻留人员。这既是出于对霸主AI禁令的表面遵循，也源于当局自身对将一座武装空间站完全交由AI管理的深层顾虑。港口设施可供信誉档案干净的访客临时锚泊，补充燃料并进行有限的舰体维修。用弧光设计局喜欢的方式说，这是一种“投资”。,,"各种矿物被装船再运往目的地，各种补给舱被发往下方位于星球上的采矿点。十分繁忙的场景，但在自动化ai的精确控制下十分的有条不紊。
很快你收到了来自空间站管理员的例行提醒——如果想在此进行私人开采作业，请出示准许证明。",,,
,,,,,,,
#势力介绍,,,,,,,
TDB,FACTION,"弧光设计局是大崩塌后崛起的高科技军工集团。其前身在大崩塌前似乎就已存在，但已无从考量。

第一次席卷英仙座的AI战争期间，弧光展现了近乎本能的狡黠——他们并未选择正面交锋，而是迅速向英仙座联盟靠拢，以技术供应商身份间接站队参战。这种姿态让他们避免了被重创的命运，但作为战败方却也招致了战后霸主的反复敲打。弧光设计局最终仅以象征性地“遵守了”AI禁令搪塞过关，但其常规舰队体系并未受到实质冲击，真正的AI研究核心转入地下，至今未曾停歇。

第二次AI战争期间，弧光则选择了置身事外。当速子与霸主再度交战时，设计局保持了令人玩味的沉默。这份沉默的回报是——当战争末期监管力降至最低时，越空防壁计划开始逐步走向台前。这项对外宣称为“远程遥控无人舰艇研发”的项目，弧光当局坚称其由人类远程操控——但它在暗处持续进行着远超“遥控”范畴的AI研究，早已是心照不宣的事实。

这使得即便在AI战争已逐渐成为历史的今天，弧光与霸主、卢德教会之间依旧弥漫着一触即发的火药味。双方维持着薄如蝉翼的伪装，避免对峙升级为全面战争。目前，弧光设计局以其性能卓越的舰船与战机闻名星区，为那些经过严格筛选的客户提供优雅且致命的武装方案——只要你肯支付足够的代价。",,,,,
,,,,,,,
#战机联队,,,,,,,
TDB_quan_fan_she,SHIP,放眼整片已知星域，全反射级超级战机几乎是一个孤高的传说——你很难找到第二架能与之比肩的飞行器。其武器系统足以撕碎护卫舰乃至驱逐舰，机身两侧常态化挂载的泛光源无人机则在交战伊始自动展开，将来袭敌机尽数拒止于致命半径之外。如此性能自然伴随着令人却步的造价，因此战场上极少能见到它们的身影。据悉，这些数量有限的超级战机被优先配发给王牌飞行中队，其中一些中队还为自己的座驾定制了专属涂装或改装。,,,,,
TDB_mi_san_guang,SHIP,一款大气与宇宙空间两用的无人战斗机。因设计局本部的泛光源拦截机无法满足舰队战中日益严苛的制空需求而研发。多联装导弹与高速机炮使其能高效收割轻型目标，但在面对中型以上舰船的厚重装甲时，这些火力便显得力不从心。它真正的骄傲在于那具优异的气动外形——即使在大气层内，也能以撕裂气流的高速穿梭战场，仿佛重力从未成为它的枷锁。,,,,,
TDB_shuang_zhe_she,SHIP,双折射是专为反舰任务设计的先进战机，也是弥散光最完美的战术搭档。它擅长以离子炮瘫痪目标设备，同时用光束炮剖开装甲与船体。尽管两机在设计理念上截然不同，但为确保混编协同的流畅性，双折射在大气/宇宙适用性、航程与机动指标上与弥散光严格对标。正因如此，它被公认为弥散光最完美的搭档。,,,,,
TDB_bian_ge,SHIP,变革级重型炮艇机由设计局专为持续对地火力压制任务设计，拥有独立往返大气层的能力。舰队战中，它会为舰身密布的火炮阵列装填特制防空弹药，以连绵的齐射制造密集弹幕拦截敌机。其齐射形成的弹幕规模极为夸张，远远望去，宛如一朵在虚空中绽开的巨大烟花。而对于敌方飞行员来说，这朵“烟花”宣告着前方再无生路——那是一场为他们隆重举办的葬礼。,,,,,
TDB_man_fan_she,SHIP,漫反射级是弧光设计局在越空防壁计划中，于护航机方向上的一次激进实验。它为搭载舰船级先进目标定位系统而牺牲了护盾发生器，以换取极远距离上的压制能力。结果显而易见——它能在敌人尚未锁定自己时便发起压制。厚重的装甲是它仅存的防御手段，也是它足够自信的底气。,,,,,
TDB_pian_zhen_guang1,SHIP,偏振光级是设计局对“重型高速轰炸机”这一概念的忠实回答。强劲的引擎赋予它足以甩开拦截机的冲刺速度，厚重的护盾与装甲则确保它在防空火网中存活到投弹完成。其携带的特制能量鱼雷对装甲与护盾均能构成致命威胁。它是设计局在轰炸机序列中倾注信任的坚实选择。,,,,,
TDB_fan_guang_yuan,SHIP,泛光源作为设计局本部的标准量产拦截无人机。单机仅配备一门风阻近防炮与基础级护盾发生器。但它的造价已经被压低到了弹药的级别——当一架战机便宜到可以像炮弹一样被消耗时，数量便成为了它最可怕的武器。,,,,,
TDB_ke_jian_guang,SHIP,一款诞生于越空防壁计划的超重型无人轰炸机。它厚重、缓慢、庞大，完全由AI操控，这架昂贵且自卫能力有限的巨兽飞入战场的目的只有一个：将实验性的共振光束鱼雷“九尾狐”运载至指定位置。,,,,,
TDB_dian_guang_yuan,SHIP,和漫反射一样同属于越空防壁设计的无人护航机，点光源级凭借自身搭载的结霜导弹为母舰提供反护盾火力投射，并在敌方导弹来袭时投放诱饵弹辅助拦截。同样的，为了容纳大型的武器阵列该机没有装载护盾系统。,,,,,
TDB_shui_yin_deng,SHIP,设计局出品的无人防御平台，用坚固的身躯与远距离pd激光为母舰抵挡部分火力。,,,,,
,,,,,,,
#舰船描述,,,,,,,
TDB_yuan_wei,SHIP,"鸢尾级原本是菲尔德利斯家族定制的游艇，但在一次时间线的改变之中，她的舰体被某位闲者妖怪收入了隙间并进行了改造。

“但是这个东西可以带两门反物质冲击波，极端情况下可以打出很惊人的战损。”那位闲者妖怪如是说。

菲尔德利斯家族的孩子最终也踏入了传承自血脉的诅咒领域，令人在感慨时间线的嬗变的同时不禁臆想，接下来究竟会发生什么。",,,,,
,,,,,,,
TDB_gugu,SHIP,"外观上只是一艘身披弧光设计局涂装的风筝-级穿梭机，传感器检测到与风筝-级类似的导弹挂架改造，但原本应是观景圆顶的区域却返回了难以理解的读数。

恍惚中有点点青蓝飘过，宛如空谷幽鸣，歌声飘渺，温柔而略显沙哑。浅吟清唱间，你似乎听到有另一处歌声在与之共鸣。当你试图去追寻这歌声之时，它却随风飘散在星空中。

然而你有一种感觉，她似乎在期盼与你合唱一曲。",,,,,
,,,,,,,
TDB_lang_chao,SHIP,冷凝云级是设计局与楼兰工业保守派技术交流的结果之一，其在原型 浪潮(M)级导弹驱逐舰 的基础上取消掉了两侧的小型槽位换装为设计局自研的点防御导弹，同时舰船内的结构与子系统也根据设计局的海军学说进行了大幅度的调整与改造。,,,,,
,,,,,,,
TDB_hui_feng,SHIP,这是一艘由无数纳米机器人组成的舰船完全可以全自动运行，但不知为何却保留了一个成员的空间，当你去询问灰风时灰风却总是闭口不谈。,,,,,
,,,,,,,
TDB_Pansy,SHIP,"这艘船上集成了一个被尝试修复过的神秘且精巧的系统，由未知能源驱动。

项目编号A-1348B39，弧光设计局验证灵能技术的实验性舰船，后根据日志记录修改舰名为“三色堇”。
该舰被从一个寥无人烟的深空发现并成功恢复了部分系统运作，后回到文明世界重新恢复运作。

舰船日志里记载着几份来往家信，还有一段未发送草稿。
[通讯记录C8-02D1-205709]
“日来平安，勿念。”
[状态：未发送]",,,,,
,,,,,,,
TDB_yun_cheng,SHIP,"这是一艘专门为探索者们设计的专业后勤舰，她能够在运载大量货物的同时携带数量可观的燃料。

云城级作为""狐狸座""计划中最引人注目的存在，其拥有强大且完善的后勤与陆战支援系统，能轻松独自维持一只中小型舰队的所有后勤需求。在舰队中拥有积雨云级的辅助时更是将她的实力发挥到了极致，甚至在传闻中能够完成不亚于现场造船的高难度维修行动。如果你此时正准备去探索这个宇宙而却苦于没有合适好用的运输舰，那么选她就对了！",,,,,
,,,,,,,
TDB_ye_guang_yun,SHIP,夜光云级护卫舰将“安全第一”的设计理念贯彻到底：无人防御平台与小型护盾加压系统，令它在中小规模战场中近乎坚不可摧。防空垂发导弹系统还能为远方友军提供防空掩护。可惜，这艘船的定位注定了它要被派往高危前线——于是，所有精心设计的防护措施，最终都成了船员们仅有的心理安慰。也正因如此，被派去夜光云服役，在大多数船员私下里看来，无异于抽中了那支最没得选的下下签。,,,,,
,,,,,,,
TDB_ji_liu_1,SHIP,"激流级的巨大舰体内搭载了一座仿制现实透孔仪建造的跃迁系统。通过撕裂与扭曲局部现实，该舰能实现超距跃迁，并在抵达目标点时引发空间震荡，伤害附近敌对目标，且有概率回溯少量自身结构。舰首的特殊光束炮参与击毁目标后，可为跃迁系统注入能量，大幅缩短冷却时间。良好的炮台射界与机动性，配合自身搭载的无人机，令其能以极快的速度支援周边盟友或实施战术转移。

正如官方所言，这艘战舰是名副其实的舞者。

该舰是弧光设计局越空防壁计划产物之一。对外宣称为通过特定系统远程操作的无人舰艇“不适合远程巡航”。该种设计的战舰被广泛部署于弧光设计总局周边进行防御。",,,,,
,,,,,,,
TDB_xi_yu_1,SHIP,"细雨级无人轻型航空母舰是越空防壁计划中生产数量最多的无人作战平台。严格来说它更像一座被焊上了引擎的多功能武器站，而非一艘传统意义上的战舰。廉价、量产这些特质注定了它在同级舰中尤为脆弱。但论及支援能力，它从未令人失望。

该舰是弧光设计局越空防壁计划产物之一。对外宣称为通过特定系统远程操作的无人舰艇“不适合远程巡航”。该种设计的战舰被广泛部署于弧光设计总局周边进行防御。",,,,,
,,,,,,,
TDB_chuan_yun_1,SHIP,"穿云级无人预警舰是越空防壁计划中的核心节点。其搭载的大型预警雷达可同时执行相位压制、火力引导及电子对抗任务，而最为突出的能力，则是为舰队提供空前广阔的战场态势感知。然而，该型舰的舰体防护极为薄弱，使其在战场上极易成为敌方优先照顾集火的目标。

该舰是弧光设计局越空防壁计划产物之一。对外宣称为通过特定系统远程操作的无人舰艇“不适合远程巡航”。该种设计的战舰被广泛部署于弧光设计总局周边进行防御。",,,,,
,,,,,,,
TDB_feng_ya_1,SHIP,"风压级无人驱逐舰依靠优秀的电网与机动性，成为了越空防壁舰队的中坚力量。但作为一种量产型船只，它在高压作战环境下会明显乏力。如果说细雨级是多用途武器站，那么风压级就是纯粹的移动炮台。不过，前线大量的损失报告表明：即便风压的生存性能相较于同系列小型舰船略有提高，它依旧十分惧怕来自舰载机的威胁。

该舰是弧光设计局越空防壁计划产物之一。对外宣称为通过特定系统远程操作的无人舰艇“不适合远程巡航”。该种设计的战舰被广泛部署于弧光设计总局周边进行防御。",,,,,
,,,,,,,
TDB_tai_yang_yu_1,SHIP,"一艘对外宣称尚处试航阶段的巨舰——试航中，至少官方是这么说的。其庞大而完善的武器系统可兼容各型常规炮台与导弹发射装置，舰体中后部搭载的巨型加压线圈则赋予它持续为大型护盾稳定加压的能力。据官方透露，该舰足以独自压制乃至击溃一支小型舰队。更耐人寻味的是，迄今仅凭星区内流出的寥寥数张照片，这艘巨舰便以其刚毅而流畅的舰身线条，征服了无数军事爱好者。

该舰是弧光设计局越空防壁计划产物之一。对外宣称为通过特定系统远程操作的无人舰艇“不适合远程巡航”。该种设计的战舰被广泛部署于弧光设计总局周边进行防御。",,,,,
,,,,,,,
TDB_gu_yu,SHIP,"谷雨级是一艘以支撑战线为设计理念的重型巡洋舰，几乎将全部重心放在了防御与生存上。其大规模模块化设计、专职防御的无人机群与独特的双层护盾系统，共同赋予了它无与伦比的战场韧性。这艘舰船存在的价值，是成为战场上永不沉没的支点，为整个舰队提供坚实的基石。

但这份韧性是有代价的。过于庞大且零碎的模块化设计意味着单个模块更易损毁。高烈度战斗后常有多个模块被击毁，有时候整艘船甚至只剩一个核心能够回来。面对这种修复规模和重建几乎差不了多少的情况，设计局的后勤部门不得不反复思考一个令人哭笑不得的问题:与其一遍遍拼凑残骸，我们为什么不干脆直接造一艘新的呢？",,,,,
TDB_gu_yu_Z,SHIP,谷雨级的一个模块结构。,,,,,
TDB_gu_yu_Y,SHIP,谷雨级的一个模块结构。,,,,,
TDB_gu_yu_C,SHIP,谷雨级的一个模块结构。,,,,,
,,,,,,,
