trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
,,记得去注册贴图,,淡入,持续时间,淡出,入射宽度,尾迹宽度,若sizein小于sizeout，则可制作前尖后宽的尾迹,,不透明,影响材质压缩，数值越小，每段材质长度越小，但总体显示长度不变,滚动,"距离,过远将导致尾迹跃出弹头",,,淡入 淡出,角度调整,累积,速度,,,,旋转,,随机旋转,在爆炸发生处下方渲染
TDB_ning_hua_shot_trail0,TDB_ning_hua_shot,TDB_trail_5,10,0,0.3,0.2,50,32,"[62,106,192]","[62,106,192]",0.5,200,50,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
TDB_ning_hua_shot_trail1,TDB_ning_hua_shot,TDB_trail_5,10,0,0.3,0.2,50,32,"[62,106,192]","[62,106,192]",0.5,200,50,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_ji_yu_yun_C_shot_trail0,TDB_ji_yu_yun_C_shot,TDB_trail_7,10,0,0.05,0.2,180,140,"[62,106,192]","[62,106,192]",1,200,-1500,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
TDB_ji_yu_yun_C_shot_trail1,TDB_ji_yu_yun_C_shot,TDB_trail_7,10,0,0.2,1,118,18,"[62,106,192]","[62,106,192]",1,200,-3000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
TDB_ji_yu_yun_C_shot_trail2,TDB_ji_yu_yun_C_shot,TDB_trail_7,10,0,0.03,2,11,175,"[62,106,192]","[62,106,192]",0.5,200,50,-100,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
TDB_ji_yu_yun_C_shot_trail3,TDB_ji_yu_yun_C_shot,TDB_trail_3,10,0,0.1,0.5,140,120,"[185,22,255]","[62,106,192]",1,200,-2000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_ji_yu_yun_artillery_shot_trail0,TDB_ji_yu_yun_artillery_shot,TDB_trail_5,10,0,0.3,0.2,25,9,"[62,106,192]","[62,106,192]",0.5,200,-3000,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
TDB_ji_yu_yun_artillery_shot_trail1,TDB_ji_yu_yun_artillery_shot,TDB_trail_5,10,0,0.2,0.1,10,9,"[152,78,253]","[152,78,253]",0.5,200,-3000,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
TDB_ji_yu_yun_artillery_shot_trail2,TDB_ji_yu_yun_artillery_shot,TDB_texttuotuo_fx,10,0,0.15,0.15,60,30,"[172,228,250]","[161,149,247]",0.7,200,50,10,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,100,100,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_lian_yi_shot_trail0,TDB_lian_yi_shot,TDB_trail_5,10,0,0.3,0.2,25,9,"[110,120,255]","[180,160,255]",0.5,200,-3000,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
TDB_lian_yi_shot_trail1,TDB_lian_yi_shot,TDB_trail_5,10,0,0.3,0.2,25,9,"[95,75,255]","[170,150,255]",0.5,200,-3000,20,0,1,TRUE,FALSE,TRUE,10,20,0.3,0,500,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_yuen_ying_shot_trail0,TDB_yuen_ying_shot,TDB_trail_5,10,0,0.25,0.4,50,5,"[62,106,192]","[200,55,255]",1.0,250,100,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,true
TDB_yuen_ying_shot_trail1,TDB_yuen_ying_shot,TDB_trail_3,10,0,0.15,0.2,50,4,"[62,106,192]","[200,55,255]",1.0,250,100,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,true
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB_yun_ying_L_shot_trail0,TDB_yun_ying_L_shot,TDB_trail_5,10,0,0.25,0.4,50,5,"[62,106,192]","[200,55,255]",1.0,250,100,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,true
TDB_yun_ying_L_shot_trail1,TDB_yun_ying_L_shot,TDB_trail_3,10,0,0.15,0.2,50,4,"[62,106,192]","[200,55,255]",1.0,250,100,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,true
,,,,,,,,,,,,,,,,,,,,,,,,,,,
