name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#常规武器＃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聚焦点防御激光,TDB_Focuspd,0,,500,350,60,,,0,360,2,,,,ENERGY,,25,0,0.1,,,,,,,3000,,,,,"PD, ANTI_FTR","TDB_bp,energy20,beam15, LR, hist1t, merc",,弧光设计局,,点防御,,,,,,,,,,701.4
方糖点防御激光,TDB_fang_tang,2,0.5,5000,600,300,,,0,100,0,2,1,,ENERGY,,0,0,0,0.2,0.1,,,,,1000000,,,,,"PD, ANTI_FTR","TDB_bp,energy20,beam15, LR, hist1t, merc",,弧光设计局,,点防御,,,,,命中目标后造成{%s}范围破片伤害,50,,,,
长空导弹发射器,TDB_changkongpod_l,2,1,3000,4000,,300,0,50,10,30,,0.4,6,ENERGY,390,,,2.3,6,0.42,,,,,,300,100,10,300,"DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT","TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,远程支援,,,,,,,,,,1310
长空导弹发射舱,TDB_changkongpod,2,1,3000,4000,,300,0,50,10,15,,0.15,4,ENERGY,390,,,2.8,4,0.9,,,,,,300,100,10,300,"DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT","TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,远程支援,,,,,,,,,,1310
结霜导弹发射器,TDB_jie_shuang,1,,4000,1400,,120,200,5,30,20,,,,KINETIC,0,,0,15,20,0.1,0,0,0,0,,500,100,6,100,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,反护盾,,,,,,,,,,16.3
结霜导弹发射舱,TDB_jie_shuang_m,1,,4000,1400,,120,200,5,30,10,,,,KINETIC,0,,0,15,10,0.1,0,0,0,0,,500,100,6,100,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,反护盾,,,,,,,,,,16.3
涟漪电荷冲击炮,TDB_lian_yi,1,,4000,700,,500,300,5,20,25,9,0.4,,KINETIC,550,,0.15,0.1,1,,0,7,0.5,1.5,,1300,,,1000,,"TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,反护盾,,,,,,,,,,7
霜降防空炮,TDB_shuang_jiang,1,,1500,450,,80,100,5,360,7,,,,ENERGY,60,,0,0.2,1,,0,2,0.2,3,,2000,,,200,PD,"TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,点防御,,,,,,,,,,90000.033
凝华等离子火炮,TDB_ning_hua,3,1,22000,1000,,300,100,20,10,30,,,,ENERGY,390,,0,1.8,3,0.2,0,0,0,0,,1000,,,,,"TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,多功能,,,,,{%s}命中船体时，有 {%s} 的概率生成同等与弹丸 EMP 伤害的电弧,等离子弹头:|30%,,,,1311
裁雨脉冲炮,TDB_cai_yu,2,,1800,1000,,150,0,10,15,15,,,,ENERGY,195,,0.1,0.5,,,,,,,,2000,,,,,"TDB_bp,energy20, LR, hist1t, merc",,弧光设计局,,多功能,,,,,,,,,,22.2
逆岚频射光束炮,TDB_ni_lan,3,,7500,900,3000,,80,0,10,25,4,0.7,6,ENERGY,,6000,0,0.33,0.1,,,,,,99999,,,,,"STRIKE, USE_VS_FRIGATES","TDB_bp,energy20,beam15, LR, hist1t, merc",,弧光设计局,,反装甲,,,,,"{%s}当安装{%s}时可一次性装填6发电容
{%s}当舰船幅能水平低于{%s}时，额外造成{%s}破片伤害",电容组扩容:|扩容弹舱|超压充能线圈:|50%|100,,,,24
太阳风磁轨炮,TDB_tai_yang_feng,3,1,22000,1100,,1600,100,20,10,40,,,,ENERGY,1920,,1,2.5,1,0.2,0,0,0,0,,1000,,,,,"restricted, he18, LR",,失温症,,欧米伽类型多功能,,,,,"{%s}每次开火需要消耗{%s}单位稀有金属，命中目标后{%s}的概率对目标周围{%s}码范围内的目标造成{%s} + {%s}伤害的电弧，并随机分裂最高{%s}的诱饵弹片
{%s}炮弹在飞行途中会电击周围目标",高压电磁弹头:|1|70%|400|300能量|100EMP|6|失稳电磁弹芯:,该武器可以跨越队友射击,该武器可以跨越队友射击,,1311
云锤转轮炮,TDB_yun_chui,1,,1000,800,,50,,3,30,15,,,,KINETIC,50,,0,0.15,1,,0,20,1,10,,800,,,30,,"TDB_bp,kinetic15, hist1t, merc",,弧光设计局,,反护盾,,,,,,,,,,
